tag,x,y,,,
yellow,0.337737386,0.020663008,,,
yellow,0.174420877,-0.53569328,,,
yellow,-0.193823789,-1.094083483,,,
yellow,-0.595513729,-1.517282566,,,
yellow,-0.791670457,-1.677701141,,,
yellow,-1.063353944,-1.762599027,,,
yellow,-1.287886436,-1.876197503,,,
yellow,-1.40467793,-2.071701382,,,
yellow,-1.118806516,-2.581155144,,,
yellow,-0.675184396,-3.033025162,,,
yellow,-0.406594195,-3.215039646,,,
yellow,-0.059524938,-3.461739643,,,
yellow,0.324489733,-3.553745808,,,
yellow,0.670095204,-3.651677742,,,
yellow,0.940172556,-3.720467134,,,
yellow,0.879868684,-3.150693103,,,
yellow,0.684969002,-2.905496047,,,
yellow,0.484779206,-2.633789349,,,
yellow,0.385353287,-2.273622729,,,
yellow,0.369375561,-2.036182916,,, 
yellow,0.384387829,-1.794093172,,,
yellow,0.47344829,-1.591780802,,,
yellow,0.590028042,-0.96843962,,,
yellow,0.619880957,-0.590117174,,,
yellow,0.624560971,-0.025375452,,,
yellow,0.518153176,0.39763177,,,
yellow,0.359290671,0.59677166,,,
yellow,0.336996231,0.018612972,,,
blue,-0.495378199,-0.002839398,,,
blue,-0.73860906,-0.63349969,,,
blue,-1.346719141,-0.943188266,,,
blue,-1.788814667,-1.039571499,,,
blue,-2.266397966,-1.348548123,,,
blue,-2.462200181,-1.901353153,,,
blue,-2.357086571,-2.426148294,,,
blue,-1.504327569,-3.454700952,,,
blue,-1.257863511,-3.82712089,,,
blue,-0.778385555,-4.266640112,,,
blue,-0.017684987,-4.336833868,,,
blue,1.1565211,-4.5371812,,,
blue,1.623733306,-4.527804056,,,
blue,2.263732053,-4.474481079,,,
blue,2.55202237,-3.838463111,,,
blue,2.335083019,-3.115872473,,,
blue,1.874008725,-2.443631914,,,
blue,1.453409147,-2.220591362,,,
blue,1.243647529,-1.734096771,,,
blue,1.239087745,-0.886462357,,,
blue,1.324181641,-0.529804201,,,
blue,1.377424121,0.186015759,,,
blue,1.2653341,0.67475186,,,
blue,1.081019387,1.349844224,,,
blue,0.73269794,1.563723319,,,
blue,0.100460021,1.642717351,,,
blue,-0.465821118,1.279943583,,,
blue,-0.494890833,-0.001946211,,,
